Start_to_End,Length_ShortestPath,Length_ORBSlamPath,Stop_to_End,Number_of_collisions
5.439542730204729,49,500,2.433050987412949,36
2.4016600051777917,27,42,2.4021804707098524,0
3.785177789092245,42,106,3.670401785708223,1
5.533177995957374,51,310,5.574066043623694,2
2.5355806011684505,51,101,2.5819050956240206,3
3.731515504646625,46,65,3.8145031649312595,0
3.2310444133091396,34,60,3.131556777196838,0
2.3000922133184143,33,41,2.2755813374646467,0
4.224386794388609,37,68,4.3080115547324445,0
6.284188258594625,57,280,6.160716284224526,28
5.003022712017416,44,500,2.4073210792891713,3
4.239947472248811,49,75,4.498954311346895,0
3.0823964758394298,37,62,3.26595566094044,0
3.7865997245688505,36,68,3.826376255137496,1
2.83976760897412,39,56,2.9256368280346177,2
7.019447884930642,57,126,6.794099902970991,9
5.008032660875896,75,500,3.083632837522691,1
2.70024364159822,31,500,0.3846378645412769,46
3.986005376867388,33,54,4.1107378650806,0
1.7827619392671714,39,44,1.7334158002240982,0
1.9059620031310394,44,500,1.120917853436479,48
3.0902771107809257,43,85,3.05917708159095,1
5.530156715930077,42,56,5.492773534731494,1
5.244609387549252,52,58,5.212241794617391,0
5.205397521898433,56,113,5.109229501893611,12
5.445922538717209,43,99,5.497090486809932,1
4.268337710329058,52,85,4.182754761084678,0
0.19476576421532468,3,41,1.20973140502094,1
2.5760797408652136,46,73,2.774565336967749,1
3.382125746653514,48,79,3.4093741263195687,1
5.884796844880329,61,104,5.745018559809393,0
2.1214161698596223,23,268,2.276716632837086,30
4.700374039074,57,80,4.745311731028184,2
4.501152505904997,47,48,4.538292029183875,2
4.213490388751884,59,119,4.396563698078158,1
3.498181372752169,49,223,3.5282081038959077,14
2.3541483696174343,58,500,2.4414381829912246,439
2.778911270941362,35,59,2.8032316061536897,2
5.562899623243462,50,84,5.458442308049586,4
4.9917575442901265,37,51,4.901569188579545,0
5.02210977491513,53,102,4.9587529555761245,1
3.778996683428317,53,87,3.8428765739778576,6
4.598124482463051,51,147,4.500045822293064,3
4.721880967151999,44,98,4.936934197123716,0
2.412235016642064,33,54,2.3335970916518196,0
3.2839137755118446,56,169,3.229564075518745,2
4.259052513590589,47,64,4.230420691419116,0
5.830314902669206,54,77,5.8689698918108215,2
4.361237215238209,34,85,4.408180410163476,1
3.1327831870647245,49,89,3.081253978780798,0
2.0884565561592274,36,51,1.8812594914893974,8
4.129294685919191,29,52,4.228700313260271,0
2.9664957610501608,36,50,2.948894831004116,1
2.848722144674412,32,47,2.9107071973655048,0
6.256748559223159,58,148,6.167511281723597,3
3.689446080383496,46,173,3.6785050505927437,1
3.8148630280707048,29,160,3.9253372068679875,10
2.821805703101553,56,252,2.900123627121866,34
4.022272778859415,40,180,4.009284591743679,36
4.055473880983514,31,45,4.1925613138522015,0
4.924620325396803,58,61,4.761121285535996,1
1.3867791204821471,36,46,1.278594805832194,1
3.5006223298237296,62,68,3.28041279925882,1
5.141704546639159,57,500,1.8835608936571728,16
5.140696288350198,36,500,1.8438589135792465,54
6.548615969869264,56,66,6.483344356069782,2
3.6098112467246115,54,77,3.482498158294858,1
3.3039881818903423,21,26,3.388007747422625,0
6.07879237097666,53,105,6.319402717767467,1
3.8194787692910563,38,86,3.81651195285399,1
4.028390669670955,46,162,4.199770478456014,0
